,free mean,free err,ur_14 mean,ur_14 err,super_cpmg mean,super_cpmg err
1,-4.988341866700953,0.002833343221168119,-5.048006828843226,0.0033521878713432328,-5.067755637311223,0.0032344838229415463
2,-4.823763625807005,0.0018893684680558185,-4.862319962594876,0.0021283150495328166,-4.886121042204578,0.0024083292747242744
3,-4.67340495735197,0.0015486475175511645,-4.726045649880653,0.0018299585589565627,-4.751081161240111,0.0020035733375256834
4,-4.5345934381997,0.0015566635540498106,-4.6229583107973085,0.0016247273871170364,-4.641529615922196,0.0018569431789560913
5,-4.377058418252544,0.0016401408885696055,-4.518932764671072,0.0014995610662702035,-4.53714884937506,0.0016162918248509549
6,-4.205410929058446,0.0018706036406610615,-4.413512399132016,0.0013933900548479536,-4.437819352625379,0.0014835128995205026
7,-4.03063629884126,0.0022195908846246145,-4.310626791655062,0.0014213193849421755,-4.339901590852701,0.0014716180446265703
8,-3.8450419883082527,0.002497220896161222,-4.204946424727829,0.0015706564386415336,-4.240548564035746,0.0014938908668132662
9,-3.6345861815287144,0.002833117635912231,-4.096955437652397,0.0016069794062501498,-4.132860477686024,0.0016728029012696621
10,-3.3885615060273806,0.003587990541544332,-3.980822630822692,0.0017365919112174407,-4.017607080516757,0.001761213975064122
11,-3.12982876914712,0.004111067860718061,-3.856514886131044,0.002085809658957257,-3.892896391647591,0.0019323980570241101
12,-2.8506793954825747,0.005984874469942195,-3.730344683041041,0.0023855429267123736,-3.7584718024763752,0.002200124278968843
13,-2.5731212385073845,0.008651855597018115,-3.5906079196731797,0.0025753841765084103,-3.6168100683385176,0.002352643124414595
14,-2.2721706535035424,0.011025187543661052,-3.4536899126175715,0.002629798366562668,-3.4603810539817887,0.002439904945820036
15,-1.9434346832020872,0.015911463556067897,-3.305951090246812,0.0027732582661738653,-3.3009735068991786,0.0029413624787976234
16,-1.6142558285860744,0.022719955938614998,-3.1467008647460553,0.0035090606393824524,-3.1382332993999715,0.003727737331100014
17,-1.2274727992740557,0.031575693076008084,-2.9789478291267995,0.0040549293695365364,-2.964831778328607,0.004417174837222505
18,,,-2.807913884447458,0.004722662667020571,-2.783582095093239,0.0048895304597712805
19,,,-2.6350351121645827,0.005866149156805151,-2.5986756044393475,0.006186071584806542
20,,,-2.465696596934952,0.0066567136461558665,-2.397252580289897,0.007496767773153412
21,,,-2.2957689960619154,0.00857745008560278,-2.206885237479106,0.008831705519055993
22,,,-2.115911526367562,0.009681226043745448,-2.0057872661107696,0.011632362383439027
23,,,-1.9290433390406634,0.011684125437206606,-1.798780377995938,0.014813066093496767
24,,,-1.737968251150007,0.015708657358861115,-1.5914067326774164,0.019308647827652046
25,,,-1.5643546323871917,0.01733314040087733,,
26,,,-1.4107895023995938,0.020728757789750963,,
