"machine","seq","embedding","slope","slope err","intercept","intercept err"
"cairo","xy4","1",0.377874423825652,0.013666993898427203,-9.367924788948072,0.2460799917659086
"cairo","free","1",0.43206514296343757,0.04883754201334452,-8.905135153092923,0.8451949655047658
"cairo","ur_10","1",0.3681462928401601,0.04812059186460918,-9.694389899606668,1.1180648033493883
"montreal","super_euler","2",0.18326307870859046,0.006160702436395163,-6.104701675258638,0.12039703718607371
"montreal","ur_14","2",0.17916300301009966,0.007908266787737175,-6.052590250085605,0.171339411982263
"montreal","super_cpmg","2",0.20702662328234636,0.015663967065926765,-6.560047124231025,0.3471411846458425
"montreal","xy4","2",0.2161113695685291,0.015904050246042894,-6.719259840727346,0.353056473803213
"montreal","free","2",0.3398010827798468,0.03191995439311354,-6.792022281141149,0.4517364686308013
"cairo","rga32a","2",0.28995360814925875,0.006567942058619557,-8.886369731803057,0.13856029461131655
"cairo","ur_38","2",0.2965055926375001,0.00813957149987304,-8.993055690198066,0.17132876206395828
"cairo","ur_18","2",0.2963802642853597,0.007242085324770997,-9.056295987983969,0.15452632091834204
"cairo","ur_42","2",0.2834431852437655,0.00749400596909957,-8.74929177224422,0.15763367255605593
"cairo","free","2",0.3844165926736244,0.024490120768589373,-8.510836106498157,0.3870832388827236
